,Brain,brain annotated,y.n.brain,Liver,Kidney,Serum,Brain_Liver,Brain_Kidney,Brain_Serum,Liver_Kidney,Liver_Serum,Kidney_Serum,Brain_Liver_Kidney,Brain_Liver_Serum,Brain_Kidney_Serum,Liver_Kidney_Serum,All
48,Ppp2r5c,F,n,Mrc1,Ncln,C1qc,NA,Slc39a7,NA,Hmgcr,NA,Minpp1,Selenof,NA,NA,NA,NA
49,Fat3,T,y,Vnn3,Mme,Grid1,NA,Cyb5d2,NA,Pafah1b1,NA,Gnptg,Uggt2,NA,NA,NA,NA
50,Cacna2d1,T,y,Gpi,Atp1b1,Sbsn,NA,Dnajb14,NA,Mindy1,NA,Fras1,Txndc12,NA,NA,NA,NA
51,Phb,F,n,Synrg,Ggt1,F10,NA,Aqp4,NA,Dbn1,NA,Reck,Glg1,NA,NA,NA,NA
52,Cntnap1,T,y,Pla2g12a,Agrn,Igkv14-111,NA,Wfs1,NA,Eif2ak3,NA,Celsr2,Insr,NA,NA,NA,NA
53,Gabbr2,T,y,Tdrd3,Myl6,Cfd,NA,P4ha2,NA,Smap1,NA,Trio,Cnpy2,NA,NA,NA,NA
54,Ncan,T,y,Myo15b,Golga4,Pclo,NA,Sema4d,NA,Ogfod3,NA,Proc,Creld1,NA,NA,NA,NA
55,Gabbr1,T,y,Eepd1,Galnt3,Ighv1-53,NA,Itm2b,NA,Emc6,NA,Fam160a2,Tmed9,NA,NA,NA,NA
56,Rdx,T,y,Zcchc11,Ptprf,Jchain,NA,Steap3,NA,Itga1,NA,Ggh,Tmed4,NA,NA,NA,NA
57,Rpl23a,F,n,Cep350,Ptprd,Pdzrn3,NA,Luc7l3,NA,Tapbpl,NA,Adamtsl2,Eif4b,NA,NA,NA,NA
58,Chd4,F,n,Mkrn2,Folh1,Taok3,NA,Stt3a,NA,Arfip1,NA,Serpinf2,Fkbp7,NA,NA,NA,NA
59,Srsf6,F,n,Pon3,Umod,Ighv1-72,NA,Tmem131,NA,Hexb,NA,Igfbp3,Sgpl1,NA,NA,NA,NA
60,Nrxn1,T,y,Srcap,Enpep,Igkv12-46,NA,Pigs,NA,Ctsl,NA,Lama4,Colgalt1,NA,NA,NA,NA
61,Nrxn3,T,y,Ankrd11,Lgmn,Afm,NA,Dpy19l4,NA,Cdk5rap2,NA,Cpn1,Lman2l,NA,NA,NA,NA
62,Pcdhgc3,F,n,Gprin3,Ttc13,Ighv1-80,NA,Selenom,NA,Spire1,NA,NA,Tmx3,NA,NA,NA,NA
63,Fgb,F,n,Fsip2,Kl,Cpn2,NA,Vldlr,NA,Asah1,NA,NA,Apmap,NA,NA,NA,NA
64,Rbm39,F,n,Dguok,Adam10,Alpk1,NA,Mydgf,NA,Lgals3bp,NA,NA,Fkbp2,NA,NA,NA,NA
65,Cntnap2,T,y,Eml4,Ndrg1,Ighv10-1,NA,B3glct,NA,NA,NA,NA,Bcap31,NA,NA,NA,NA
66,Vcan,T,y,Ikbip,Tinag,Gm11639,NA,Nudt9,NA,NA,NA,NA,Emc3,NA,NA,NA,NA
67,Hapln1,F,n,Stxbp1,Sec63,C7,NA,Casc4,NA,NA,NA,NA,Spcs3,NA,NA,NA,NA
68,Brinp1,T,y,Kdm5d,Anpep,P03977,NA,Lrp4,NA,NA,NA,NA,Emc4,NA,NA,NA,NA
69,Gas7,T,y,Cd300lg,Tmem27,P03987,NA,Sec23ip,NA,NA,NA,NA,Ergic3,NA,NA,NA,NA
70,U2af1,F,n,Fam53b,Mgat3,Igkv3-7,NA,Mgrn1,NA,NA,NA,NA,Sumf1,NA,NA,NA,NA
71,Nptx1,T,y,Nr1d2,Scpep1,Ighv9-3,NA,Tmem229a,NA,NA,NA,NA,Selenot,NA,NA,NA,NA
